Date,Fund1,Fund2,Fund3
27/07/2011,1615,5856.60009765625,1304.89001464844
28/07/2011,1613.40002441406,5873.2001953125,1300.67004394531
29/07/2011,1628.30004882813,5815.2001953125,1292.28002929688
01/08/2011,1619,5774.39990234375,1286.93994140625
02/08/2011,1641.90002441406,5718.39990234375,1254.05004882813
03/08/2011,1663.40002441406,5584.5,1260.33996582031
04/08/2011,1656.19995117188,5393.10009765625,1200.06994628906
05/08/2011,1648.80004882813,5247,1199.38000488281
08/08/2011,1710.19995117188,5069,1119.4599609375
09/08/2011,1740,5164.89990234375,1172.53002929688
10/08/2011,1781.30004882813,5007.2001953125,1120.76000976563
11/08/2011,1748.80004882813,5162.7998046875,1172.64001464844
12/08/2011,1740.19995117188,5320,1178.81005859375
15/08/2011,1755.5,5350.60009765625,1204.48999023438
16/08/2011,1782.40002441406,5357.60009765625,1192.76000976563
17/08/2011,1791.19995117188,5331.60009765625,1193.89001464844
18/08/2011,1818.90002441406,5092.2001953125,1140.65002441406
19/08/2011,1848.90002441406,5040.7998046875,1123.53002929688
22/08/2011,1888.69995117188,5095.2998046875,1123.81994628906
23/08/2011,1858.30004882813,5129.39990234375,1162.34997558594
24/08/2011,1754.09997558594,5205.89990234375,1177.59997558594
25/08/2011,1759.80004882813,5131.10009765625,1159.27001953125
26/08/2011,1794.09997558594,5129.89990234375,1176.80004882813
29/08/2011,1788.40002441406,,1210.07995605469
30/08/2011,1826.69995117188,5268.7001953125,1212.92004394531
31/08/2011,1828.5,5394.5,1218.89001464844
01/09/2011,1826,5418.7001953125,1204.42004394531
02/09/2011,1873.69995117188,5292,1173.96997070313
05/09/2011,,5102.60009765625,
06/09/2011,1869.90002441406,5156.7998046875,1165.23999023438
07/09/2011,1814.19995117188,5318.60009765625,1198.61999511719
08/09/2011,1854.40002441406,5340.39990234375,1185.90002441406
09/09/2011,1856.40002441406,5214.7001953125,1154.22998046875
12/09/2011,1809.90002441406,5129.60009765625,1162.27001953125
13/09/2011,1826.80004882813,5174.2998046875,1172.86999511719
14/09/2011,1823.5,5227,1188.68005371094
15/09/2011,1778.5,5337.5,1209.10998535156
16/09/2011,1812.09997558594,5368.39990234375,1216.01000976563
19/09/2011,1776.40002441406,5259.60009765625,1204.08996582031
20/09/2011,1806.59997558594,5363.7001953125,1202.08996582031
21/09/2011,1805.5,5288.39990234375,1166.76000976563
22/09/2011,1739.19995117188,5041.60009765625,1129.56005859375
23/09/2011,1637.5,5066.7998046875,1136.43005371094
26/09/2011,1592.5,5089.39990234375,1162.94995117188
27/09/2011,1650.59997558594,5294.10009765625,1175.38000488281
28/09/2011,1616.30004882813,5217.60009765625,1151.06005859375
29/09/2011,1615.5,5196.7998046875,1160.40002441406
30/09/2011,1620.40002441406,5128.5,1131.42004394531
03/10/2011,1656,5075.5,1099.22998046875
04/10/2011,1614.69995117187,4944.39990234375,1123.94995117188
05/10/2011,1640.30004882813,5102.2001953125,1144.03002929688
06/10/2011,1651.90002441406,5291.2998046875,1164.96997070313
07/10/2011,1634.5,5303.39990234375,1155.4599609375
10/10/2011,1669.59997558594,5399,1194.89001464844
11/10/2011,1659.69995117188,5395.7001953125,1195.5400390625
12/10/2011,1681.30004882813,5441.7998046875,1207.25
13/10/2011,1667.30004882813,5403.39990234375,1203.66003417969
14/10/2011,1681.80004882813,5466.39990234375,1224.57995605469
17/10/2011,1675.5,5436.7001953125,1200.85998535156
18/10/2011,1651.69995117188,5410.39990234375,1225.38000488281
19/10/2011,1646,5450.5,1209.88000488281
20/10/2011,1611.90002441406,5384.7001953125,1215.39001464844
21/10/2011,1635.09997558594,5488.7001953125,1238.25
24/10/2011,1651.5,5548.10009765625,1254.18994140625
25/10/2011,1699.59997558594,5525.5,1229.05004882813
26/10/2011,1722.69995117188,5553.2001953125,1242
27/10/2011,1746.69995117188,5713.7998046875,1284.58996582031
28/10/2011,1746.19995117188,5702.2001953125,1285.08996582031
31/10/2011,1724.19995117188,5544.2001953125,1253.30004882813
01/11/2011,1711,5421.60009765625,1218.28002929688
02/11/2011,1728.69995117188,5484.10009765625,1237.90002441406
03/11/2011,1764.19995117187,5545.60009765625,1261.15002441406
04/11/2011,1755.30004882813,5527.2001953125,1253.22998046875
07/11/2011,1790.30004882813,5510.7998046875,1261.11999511719
08/11/2011,1798.40002441406,5567.2998046875,1275.92004394531
09/11/2011,1790.90002441406,5460.39990234375,1229.09997558594
10/11/2011,1758.90002441406,5444.7998046875,1239.69995117188
11/11/2011,1787.5,5545.39990234375,1263.84997558594
